,value
_fit_time_mean,4.434682583808899
_fit_time_stdev,0.2702647330232938
_fit_time_mci,"(4.357094396060406, 4.434682583808899, 4.512270771557391)"
_score_time_mean,0.007862496376037597
_score_time_stdev,0.002617482899931507
_score_time_mci,"(0.0071110636885516896, 0.007862496376037597, 0.008613929063523505)"
_accuracy_mean,0.7052
_accuracy_stdev,0.028774294083434945
_accuracy_mci,"(0.6969394130314315, 0.7052, 0.7134605869685686)"
_precision_mean,0.8312955121156088
_precision_stdev,0.02523718427681975
_precision_mci,"(0.8240503663283321, 0.8312955121156088, 0.8385406579028856)"
_recall_mean,0.7926577488252221
_recall_stdev,0.03493017790837253
_recall_mci,"(0.7826299173307982, 0.7926577488252221, 0.802685580319646)"
_f1_micro_mean,0.7051999999999999
_f1_micro_stdev,0.02877429408343493
_f1_micro_mci,"(0.6969394130314314, 0.7051999999999999, 0.7134605869685685)"
_f1_macro_mean,0.5664473833798445
_f1_macro_stdev,0.03575052670203211
_f1_macro_mci,"(0.556184044368366, 0.5664473833798445, 0.5767107223913229)"
_f1_weighted_mean,0.7138395689532737
_f1_weighted_stdev,0.027337150368762386
_f1_weighted_mci,"(0.7059915603300491, 0.7138395689532737, 0.7216875775764984)"
