,value
_fit_time_mean,0.23309242248535156
_fit_time_stdev,0.02465657676662044
_fit_time_mci,"(0.2260139587657112, 0.23309242248535156, 0.2401708862049919)"
_score_time_mean,0.06311440467834473
_score_time_stdev,0.016269348398148892
_score_time_mci,"(0.058443764732316626, 0.06311440467834473, 0.06778504462437282)"
_accuracy_mean,0.8028
_accuracy_stdev,0.025149155055389016
_accuracy_mci,"(0.7955801258331944, 0.8028, 0.8100198741668055)"
_precision_mean,0.8036346202855696
_precision_stdev,0.025400464921202917
_precision_mci,"(0.7963425995355466, 0.8036346202855696, 0.8109266410355926)"
_recall_mean,0.997216210798017
_recall_stdev,0.004389890453266292
_recall_mci,"(0.9959559514927306, 0.997216210798017, 0.9984764701033034)"
_f1_micro_mean,0.8028
_f1_micro_stdev,0.025149155055389005
_f1_micro_mci,"(0.7955801258331944, 0.8028, 0.8100198741668055)"
_f1_macro_mean,0.46870979997726
_f1_macro_stdev,0.028145297932064887
_f1_macro_mci,"(0.460629786592746, 0.46870979997726, 0.47678981336177395)"
_f1_weighted_mean,0.7216624457240561
_f1_weighted_stdev,0.035926644777634284
_f1_weighted_mci,"(0.7113485463521383, 0.7216624457240561, 0.731976345095974)"
