,value
_fit_time_mean,1.960436797142029
_fit_time_stdev,0.14732908166468991
_fit_time_mci,"(1.9181412437372576, 1.960436797142029, 2.0027323505468)"
_score_time_mean,0.584291934967041
_score_time_stdev,0.04862010214009614
_score_time_mci,"(0.5703339702300306, 0.584291934967041, 0.5982498997040514)"
_accuracy_mean,0.7997850000000001
_accuracy_stdev,0.006370637723179684
_accuracy_mci,"(0.7979561034576566, 0.7997850000000001, 0.8016138965423436)"
_precision_mean,0.8004899170104296
_precision_stdev,0.0061226347689996114
_precision_mci,"(0.7987322176959147, 0.8004899170104296, 0.8022476163249445)"
_recall_mean,0.9986156807472161
_recall_stdev,0.0015867116902622633
_recall_mci,"(0.9981601641019268, 0.9986156807472161, 0.9990711973925054)"
_f1_micro_mean,0.799785
_f1_micro_stdev,0.006370637723179681
_f1_micro_mci,"(0.7979561034576564, 0.799785, 0.8016138965423435)"
_f1_macro_mean,0.44866358526279
_f1_macro_stdev,0.004755528774642122
_f1_macro_mci,"(0.44729835771244403, 0.44866358526279, 0.45002881281313595)"
_f1_weighted_mean,0.7126762138103824
_f1_weighted_stdev,0.00849008020065787
_f1_weighted_mci,"(0.7102388631089439, 0.7126762138103824, 0.7151135645118208)"
