,value
_fit_time_mean,1.2166868400573732
_fit_time_stdev,0.15204696101925064
_fit_time_mci,"(1.1730368675797114, 1.2166868400573732, 1.260336812535035)"
_score_time_mean,0.23522135257720947
_score_time_stdev,0.044271355766192254
_score_time_mci,"(0.2225118354136379, 0.23522135257720947, 0.24793086974078105)"
_accuracy_mean,0.80376
_accuracy_stdev,0.02540595205852359
_accuracy_mci,"(0.796466403990653, 0.80376, 0.811053596009347)"
_precision_mean,0.9930345201752304
_precision_stdev,0.003404451938372486
_precision_mci,"(0.9920571627034644, 0.9930345201752304, 0.9940118776469964)"
_recall_mean,0.7599587330750869
_recall_stdev,0.033475120186057694
_recall_mci,"(0.7503486227183082, 0.7599587330750869, 0.7695688434318656)"
_f1_micro_mean,0.80376
_f1_micro_stdev,0.025405952058523584
_f1_micro_mci,"(0.796466403990653, 0.80376, 0.811053596009347)"
_f1_macro_mean,0.7638108533287498
_f1_macro_stdev,0.02378017294395475
_f1_macro_mci,"(0.7569839895258866, 0.7638108533287498, 0.7706377171316129)"
_f1_weighted_mean,0.8219702942712039
_f1_weighted_stdev,0.022447161101380744
_f1_weighted_mci,"(0.8155261144092147, 0.8219702942712039, 0.8284144741331931)"
