,value
_fit_time_mean,2.444017572402954
_fit_time_stdev,0.07472425849469294
_fit_time_mci,"(2.422565569647739, 2.444017572402954, 2.4654695751581692)"
_score_time_mean,0.6023558521270752
_score_time_stdev,0.02504319357559468
_score_time_mci,"(0.5951663976124989, 0.6023558521270752, 0.6095453066416515)"
_accuracy_mean,0.8000800000000001
_accuracy_stdev,0.00811255816620133
_accuracy_mci,"(0.7977510291458356, 0.8000800000000001, 0.8024089708541646)"
_precision_mean,0.8001962165339939
_precision_stdev,0.008130360696780047
_precision_mci,"(0.7978621348906062, 0.8001962165339939, 0.8025302981773815)"
_recall_mean,0.9997253380374379
_recall_stdev,0.0006276278511662248
_recall_mci,"(0.9995451572679838, 0.9997253380374379, 0.999905518806892)"
_f1_micro_mean,0.8000800000000001
_f1_micro_stdev,0.008112558166201312
_f1_micro_mci,"(0.7977510291458356, 0.8000800000000001, 0.8024089708541646)"
_f1_macro_mean,0.44592849008656715
_f1_macro_stdev,0.0031931586745910937
_f1_macro_mci,"(0.44501179114481676, 0.44592849008656715, 0.44684518902831755)"
_f1_weighted_mean,0.7117400998359028
_f1_weighted_stdev,0.011243764252435824
_f1_weighted_mci,"(0.7085122155238842, 0.7117400998359028, 0.7149679841479214)"
