,value
_fit_time_mean,0.05602434158325195
_fit_time_stdev,0.0016332485990668546
_fit_time_mci,"(0.055555465020902105, 0.05602434158325195, 0.0564932181456018)"
_score_time_mean,0.018037114143371582
_score_time_stdev,0.0014876658030707301
_score_time_mci,"(0.017610031806936235, 0.018037114143371582, 0.01846419647980693)"
_accuracy_mean,0.81404
_accuracy_stdev,0.04021440537916729
_accuracy_mci,"(0.8024951609829022, 0.81404, 0.8255848390170978)"
_precision_mean,0.9513438758797491
_precision_stdev,0.012533378957485894
_precision_mci,"(0.9477457661715446, 0.9513438758797491, 0.9549419855879536)"
_recall_mean,0.8092895035527781
_recall_stdev,0.054530894406340666
_recall_mci,"(0.7936346557079883, 0.8092895035527781, 0.8249443513975678)"
_f1_micro_mean,0.81404
_f1_micro_stdev,0.04021440537916728
_f1_micro_mci,"(0.8024951609829023, 0.81404, 0.8255848390170977)"
_f1_macro_mean,0.7592110468391859
_f1_macro_stdev,0.0387127072722667
_f1_macro_mci,"(0.7480973185828463, 0.7592110468391859, 0.7703247750955255)"
_f1_weighted_mean,0.8279320140185846
_f1_weighted_stdev,0.03393972654318086
_f1_weighted_mci,"(0.8181885234576542, 0.8279320140185846, 0.837675504579515)"
